"Timestamp","BUSDUCT1 Current R","BUSDUCT1 Current Y","BUSDUCT1 Current B","BUSDUCT1 VOL RY","BUSDUCT1 VOL YB","BUSDUCT1 VOL BR","BUSDUCT1 KW","BUSDUCT1 PF"
"2023-03-11 14:45:00",25.0898513794,23.1178283691,27.8094120026,417.1929626465,419.1084289551,419.3758850098,,76.0296583176
"2023-03-11 15:00:00",20.4808444977,18.7772464752,23.7834281921,415.6225891113,417.5092163086,417.8939819336,,76.0778367519
"2023-03-11 15:15:00",35.3340415955,32.9674224854,40.695690155,411.9411010742,413.911315918,413.9148254395,,76.7508804798
"2023-03-11 15:30:00",33.5265388489,31.2300624847,37.576007843,408.533416748,410.6931152344,410.6239318848,,75.6741642952
"2023-03-11 15:45:00",23.4863510132,21.5340442657,25.8240318298,407.508392334,409.861328125,409.8168334961,,79.3244063854
"2023-03-11 16:00:00",33.8339996338,31.6238613129,35.8647270203,411.933807373,414.0374450684,413.7135620117,,74.9867498875
"2023-03-11 16:15:00",24.0453491211,22.0646820068,26.0014266968,413.3590393066,415.1120605469,415.3162536621,,74.7555971146
"2023-03-11 16:30:00",26.7596893311,24.5052204132,29.0652637482,415.3233032227,417.2728271484,417.5074157715,,74.0046203136
"2023-03-11 16:45:00",30.6076049805,28.1470336914,32.6316871643,417.1436157227,418.9343261719,419.435760498,,73.6039280891
"2023-03-11 17:00:00",16.9356517792,14.8268413544,19.3548164368,417.7991027832,419.6620178223,420.0000610352,,82.723402977
"2023-03-11 17:15:00",7.7073993683,7.1427402496,10.8720664978,417.3301086426,419.4467468262,419.518951416,,89.7688865662
"2023-03-11 17:30:00",9.2885541916,8.7739810944,13.5113353729,418.081237793,419.4286499023,420.3107299805,,88.7447834015
"2023-03-11 17:45:00",9.5829925537,9.0684156418,14.6106300354,420.2399291992,421.9096374512,422.2899169922,,88.3450388908
"2023-03-11 18:00:00",7.5417718887,7.1001820564,11.3093090057,427.3882141113,428.7953491211,429.2873840332,,89.6540403366
"2023-03-11 18:15:00",7.7726626396,7.2480449677,10.8255062103,421.4131164551,422.9081420898,422.9113464355,,89.1068935394
"2023-03-11 18:30:00",9.4502944946,9.112868309,13.3041229248,424.4009094238,426.3253479004,426.029296875,,87.9464268684
"2023-03-11 18:45:00",8.9844722748,8.3974399567,11.6611595154,414.5545959473,416.5180053711,416.2588500977,,87.8179311752
"2023-03-11 19:00:00",7.5014772415,6.9200367928,9.3966913223,417.1737365723,419.2452087402,418.8600769043,,87.9267215729
"2023-03-11 19:15:00",7.7791581154,7.0502052307,10.3922128677,421.3691101074,423.130065918,423.0718078613,,88.6736273766
"2023-03-11 19:30:00",7.62834692,7.0214867592,12.2526102066,424.3561706543,426.5678100586,425.9999694824,,90.1148080826
"2023-03-11 19:45:00",9.7138776779,9.2066192627,13.7595434189,423.2349243164,425.3063964844,424.6506958008,,88.2376909256
"2023-03-11 20:00:00",11.9816398621,11.4557561874,14.8336544037,426.3024902344,428.0382080078,428.1547241211,,82.3462486267
"2023-03-11 20:15:00",9.4769830704,8.8656177521,12.7535800934,419.5089111328,421.2607727051,421.2185058594,,87.5385522842
"2023-03-11 20:30:00",8.6755561829,8.0158166885,11.4425201416,417.9565429688,420.1361694336,420.2261657715,,90.4697179794
"2023-03-11 20:45:00",10.9461536407,10.2404222488,13.5225458145,417.6795043945,419.7587280273,419.7527160645,,87.7166509628
"2023-03-11 21:00:00",7.6811389923,7.0716671944,10.3483743668,419.955657959,422.0576171875,422.180267334,,89.1335248947
"2023-03-11 21:15:00",7.7466235161,7.1001820564,10.4552116394,422.4403686523,424.5285644531,424.5078735352,,88.2255554199
"2023-03-11 21:30:00",7.6877126694,7.1214938164,10.2896327972,421.7443237305,423.6066894531,423.5000610352,,88.7834787369
"2023-03-11 21:45:00",9.3805494308,8.7046203613,11.7775373459,420.0529174805,421.7188720703,421.7760620117,,85.6516957283
"2023-03-11 22:00:00",7.62834692,7.0070848465,10.136305809,422.8857116699,424.8761291504,424.7834777832,,88.9762163162
"2023-03-11 22:15:00",7.713950634,7.1285829544,13.5150747299,423.0383911133,425.0123596191,424.4356994629,,90.3497219086
"2023-03-11 22:30:00",7.9079613686,7.1850481033,10.8906364441,423.4496154785,424.6269226074,425.0949401855,,88.5482311249
"2023-03-11 22:45:00",9.2885541916,8.6580715179,12.9110393524,422.9237670898,425.1080932617,424.8664245605,,88.89285326
"2023-03-11 23:00:00",10.2453546524,9.7760801315,14.2252416611,423.5581970215,425.4673461914,425.4949645996,,88.065302372
"2023-03-11 23:15:00",9.283115387,8.6347026825,18.4461288452,424.7120361328,426.5372314453,426.4703063965,,89.154869318
"2023-03-11 23:30:00",9.2230644226,8.6697320938,11.7946815491,426.767578125,427.9190368652,428.3960266113,,87.8185868263
"2023-03-11 23:45:00",7.7204957008,7.0716671944,10.2798089981,426.041229248,427.7364196777,427.8890380859,,88.3020043373
"2023-03-12 00:00:00",7.5618386269,6.8170757294,10.9323005676,427.3297424316,429.4483032227,429.179473877,,89.3441200256
"2023-03-12 00:15:00",7.7466235161,7.0214867592,10.4261837006,421.3473205566,423.2342224121,422.9754333496,,88.6421084404
"2023-03-12 00:30:00",7.6481862068,7.0930643082,11.4645729065,420.5082397461,422.6564331055,422.2338256836,,89.4405841827
"2023-03-12 00:45:00",7.6942811012,7.0502052307,10.4019298553,420.8427734375,423.0073852539,422.689239502,,88.5733127594
"2023-03-12 01:00:00",7.7466235161,7.1072926521,10.8906364441,421.7014770508,423.9002075195,423.6228637695,,88.6754512787
